报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,20061231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据及应付账款,420909183,514857974.7,724308743.7,712277589.2,470318345.3,586617307.8,744501203.8,717513930.1,673889763.4,682334927.1,772870296.9,743266766.7,741713653.3,861541437.2,0,900019891.1,0,975366177.8,0,939173531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付票据,87214830.19,152303794,175952820.4,131987658.4,140199831.5,204454073.4,197353449.2,141031323.5,0,233387783.5,0,105603119.8,248283138.1,379261462.9,341858342.8,240786233.5,197827683.6,311846862.3,287468663,192880880.7,274625747.9,316353658.5,379166902,288703138.4,333934591.5,429069743.8,220389023.3,123983540.3,97818394.17,28069063.71,30269576.63,204799170.1,212441880.1,21507987.98,23800619.21,103000000,80000000,0,43970000,69470000,200000000,174500000,0,4680000,4680000,0,31900000,0,70750000,110940000,0
应付账款,333694352.8,362554180.7,548355923.3,580289930.8,330118513.8,382163234.5,547147754.7,576482606.7,0,448947143.6,0,637663646.8,493430515.2,482279974.3,639050942.4,659233657.6,531125128.6,663519315.4,748334226.1,746292650.3,628437332.2,793164275.5,862989670.5,668300877.8,509054136.9,495019444.3,644335674.1,653822800.8,496941374.1,547862179.9,724425303.8,756050391.9,615393206.3,678572989.6,662111900.8,586539406.2,516930372.2,563401483.1,584338199.3,575327665.1,450149702.4,466420382.5,485335138.9,459353998.8,394647289.3,374036797.4,378159008.8,429187989,433045042.4,362098815.7,0
预收款项,0,0,0,0,0,49059401.04,59697163.86,47102549.49,39594142.69,69148248.36,93743533.67,50085672.92,38819354.04,60503845.38,60709847.75,38906001.07,35891794.82,55201959.49,56883498.27,50704093.03,35827352.01,42595162.48,55874615.03,45821254.1,34705689.36,36592724.87,36666288.38,39428878.01,28820227.1,29540794.5,34564779.13,37282519.92,38175052.96,36806883.2,46506701.23,42684546.83,38710658.7,36046082.64,38509114.7,45742308.76,43780429.87,43293638.88,27288922.98,26800869.43,36140481.85,26731082.79,31046451.32,32896860.13,41828095.37,33465749.18,0
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付职工薪酬,95191194.75,157320136.2,152514316.5,118145573.1,73200330.33,144681505.4,110273649.2,104169954.7,71766237.05,134471003.2,95015292.6,87238757.77,58031496.67,93456863.22,76598387.23,64651188.5,46011387.19,67783885.2,89638580.28,57910703.08,30149013.25,50496947.59,47529439.89,28000989.72,14079011.87,29313080.08,34415718.66,21037899.19,7811150.64,22394777.34,13665443.08,13990482.72,6298502.46,19116144.95,13045490.72,12129197.18,4423651.63,19029528.29,11839257.47,14784416.54,5697274.3,19034577.79,19231360.71,17007900.28,9186813.87,24169231.45,24123044.85,25203406.14,50454256.64,71280276.24,0
应交税费,83838223.59,48314771.71,142295154.5,135482333.9,52485992.33,42096645.07,119997852.7,129112691.5,89793402.37,94100898.64,116369506.1,130403235.5,127838155.3,113621145.3,115778825.9,109629077.2,264285599.9,253130836,105649901.6,100874492.1,72256142.37,71459847.51,86805534.5,120509015.6,58908010.1,39498068.21,74560810.63,106368681,44416803.3,64400690.53,60187057.73,72582182.51,42492230.68,61733972.14,38497926.49,46188430.47,6700041.81,52096510.69,88599460.53,83622475.98,41730506.11,50863361.7,49382011.34,89602412.49,74561119.85,63567279.79,51194785.7,26113620.07,37508368.44,49660942.4,0
其他应付款(合计),303431754.6,298872583.9,350545518.8,340357092.9,288927190.9,932575885.6,991013532,932911158.6,832216191.3,808086412.4,1019230111,960076133.4,734948797.5,712070495.6,0,569978411.1,0,476651462.5,0,367823598.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付利息,0,0,2844343.38,1559248.39,564895.84,564895.84,664583.38,7765457.42,5473247.88,8140383.9,0,2309261.34,2370869.29,976301.8,573887.16,148099.91,0,0,0,0,0,0,0,313224.19,533502.45,16402790.42,12370929.86,10275968.32,4439916.96,20349856.97,19690144.73,13683253.42,6929694.86,18984741.57,15661696.39,36815498.09,24210524.42,30281053.58,15993754.13,7414663.08,15768456.82,16797623.5,9140814.82,8529180,2200047.34,1368154.28,1294025.03,1627365.99,1856751.23,1361791.74,0
应付股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1742466.65,1742466.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135826.14,0
