报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
在建工程(合计),631556601.1,527105766.2,599783928.3,567743767.6,474002973.6,510641550,414250419,370214310.4,321598146.5,305795847.9,434811489.8,424355085.2,410615642.3,419238613.2,0,471303445.4,0,456420163.8,0,511486876.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程,0,527105766.2,0,567743767.6,0,510641550,0,370214310.4,0,305795847.9,434811489.8,424355085.2,410615642.3,419238613.2,480944896.1,471303445.4,477227075,456420163.8,528448903.4,511486876.1,499567608.2,490769187.1,938543924.9,855329592,777271203.1,758156436.9,736760247.3,647409893.5,591337077.8,506577304.1,453536687.2,388082987.8,355428298.7,263824375.1,227462613.3,136415999.6,118166348.5,203921546.3,333420475.3,209519408.4,150001931,118276345.8,62505943.36,18218093.58,12250072.23,8527183.05,72581314.42,64730933.76,60779648.94,53495596.2,144672359.6,125208972.4,108479397.9,98451292.17,110268639.5,85613684.65,79185544.16,74914727.56,64612004,51860818.67,49613786.2,46956801.31,37593860.55,21205607.83,16497338.75,9230162.37,39114097.08,34078804.21,26441904.28,21873521.37,30287384.3,23505375.97,17746068.68,14791738.68,26546284.8,23178881.68,22685021.47,19191038.01,15027918.09,12408833.53,10327424.55,7595279.12,6295362.66,6084080.76,8304391.46,8182017.46,88909565.57,88691193.29,358465719.2,319069706.5,262285212.9,252195000,184935570.9,8521312.49,94916693,0
工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2426860,0,0,0,2153060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产及清理(合计),1788475741,1762443649,1598387974,1598650180,1661133890,1620394493,1637279811,1596805121,1553509719,1598571677,1677127400,1706108293,1732881435,1650672715,0,1681022167,0,1709408905,0,1483269833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产净额,0,1760640112,0,1596382071,0,1618612152,0,1596805121,0,1598571677,1677127400,1706108293,1732881435,1650672715,1658894690,1681022167,1693779758,1709408905,1447571419,1483269833,1508608360,1523558108,745974019.2,755275224.9,769916475.9,769563230.7,767871903.7,780700997.3,785776884.6,786762999.4,689564825.7,676225445.4,647626216.9,655242127.6,592340821.9,591124471,596494103.8,609649869.3,429105954.3,431232421,433074166.2,436196146.5,439428529.8,446303530.1,456005122,464507993,397809495.2,405353411.9,413544343.3,420934906.3,314270588.3,314534681.3,321268105.5,330245410.6,306156904.3,308799940.3,315128328.2,320889117.3,326259287.2,332480778.2,335289003.1,342581352.7,347458423.8,347794404.1,353759448.6,359067157.5,324399538.4,330512707.3,336386413.9,340869062.6,335234787,341227978.1,348687571.6,355540308.4,346477137.9,354859386.4,360978343.9,368115517.1,380322632.4,394016920.7,406282237.5,421005642.4,434375771.9,450212955.2,466897380.1,482788518.8,436526781.7,452285535.9,214167313.4,220887911,219077846.5,222951000,225389012.4,215576384.2,89969999,0
固定资产清理,0,1803537.15,0,2268109.46,0,1782340.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4500,0,0,0,0,0,0,0,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用权资产,6341010.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
