报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19970331,19961231,19951231,19941231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程(合计),38618815.05,24318668.45,21415341.34,7645526.65,1480878.51,735132.01,20964678.1,22399862.88,16440094.8,17241372.45,4970605.46,4970605.46,4970605.46,6417781.53,0,7430246.51,0,7064205.46,0,5866199.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程,0,24318668.45,0,7645526.65,0,735132.01,0,22399862.88,0,17241372.45,4970605.46,4970605.46,4970605.46,6417781.53,7995135.07,7430246.51,6581005.46,6581005.46,5494742.55,5280725.46,5159861.87,4904706.41,99435222.65,117843046.8,115903964.1,89201616.29,79212458.18,55658805.32,61604896.18,47912703.06,83258561.73,70211877.29,44467684.31,38916064.02,19846146.23,12372901.38,12417378.03,7757744,29547212.36,9865312.36,0,0,2937965.54,2358500,4982681,13462208.2,26631589.38,4396633,1656633,0,275500,2937042,2041642,1779642,938427,835227,757227,0,0,0,0,36478,26728246.14,26320487.09,25619773.32,24084997.31,32303508.61,48246082.21,66189481.57,59638246.19,62009646.54,42708539.61,51367458.34,52557049.04,85129888.53,81177622.58,77433297.95,63190452.35,173566969,152096451.4,166329176.9,117863532.6,135926734,115089872.9,111293680.5,54135945.3,31101326.23,0,27844993.76,21663808.42,13887326.13,0
工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483200,483200,585474.5,585474.5,585474.5,585474.5,585474.5,585474.5,585474.5,585474.5,97418,97418,97418,97418,236562.34,74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74248.69,75298.69,55548.69,61254.29,87164.29,586245.04,571665.04,657268.04,653636.54,3733951.55,3513480.95,3481708.45,650757.12,6010848.63,7648282.27,8230511.45,8088349.66,7376106.37,3472414.68,2111690.29,1920561.05,0,0,0,0,0,0,0,0,0,0
固定资产及清理(合计),400744601.2,399940292.5,407029936.4,413062629.8,418169734.1,426222391,463648507.8,464907485.3,471298286.9,478582615.4,386874258.7,393626249.7,398445384.4,404659309,0,418280374.9,0,482149866.4,0,517358557.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产净额,0,399940292.5,0,413062629.8,0,426222391,0,464907485.3,0,478582615.4,386874258.7,393626249.7,398445384.4,404659309,412686061.1,418280374.9,472064192,482149866.4,499450022.6,517358557.5,520244455.9,530099311.3,444137540.3,419450977.6,427856459.1,435001712.5,439698757,445889452.2,429782630.9,436302805.1,400719314.9,403839062.3,395298844.4,394807301.3,391483138.7,396786727.9,393411879,396064065.8,353113542.4,349465345.7,323484370.8,324967636,324786122.2,328129304.6,309624285.9,301931654.1,294794160.7,309688289,314661813.6,319549901.5,325316773.8,327060015,331287425.5,336549852.4,334782440.6,352296004.1,360680526.2,366517587.5,373061400.5,379388628.8,385756754.3,450166287.1,434141093.9,442407537.4,450621126.7,461111859.4,462602332.3,451754307.4,438996492.6,446882338.8,442527647.3,448350194,463750568,474197661.8,454408419.9,461103000.2,470458899.8,477740506.3,339155620.5,352181173.5,349354463.3,354381414.4,323439990,336636934.3,230878743.6,205580575.2,175684470.4,151639329.7,155022866.7,104016845,21033575.87,0
固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735465.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6491.62,0,0,-7600,-7000,0,0,0,0,0,4571.52,0,0,0,-3573,0,178767.85,0,0,0,0,0,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用权资产,2264569.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
