报表日期,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程(合计),450759051.7,318393483,229624907.7,198397804,184590693.8,149264878.6,81963879.57,44595957.52,44295037.96,11273270.42,13361008.15,72116205.84,74744704.66,41705092.45,27547145.96,0,15810903.81,0,8413172.27,0,3258656.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程,449429284.9,0,228295140.9,0,183260927.1,0,81963879.57,0,42965271.2,0,12031241.39,72116205.84,74744704.66,41705092.45,27547145.96,32495722.65,15810903.81,15626784.87,8413172.27,5189737.73,3258656.03,2309175.85,3956871.32,3764271.98,1061816.98,2892779.98,1007090.35,41417383.89,42826391.29,44581702.33,42929558.68,51430972.38,49690721.45,137366014.5,103070223.1,224946175,182241703,133674200.8,118874947,76642739.93,63048913.66,116251372.1,44700336.81,41745547.26,54940271.24,48910464.86,46665599.61,64693999.2,57467547.54,66903402.04,71678143.62,58383680.85,57488948.13,58399001.74,55684413.42,44615046.66,51470750.89,80177313.12,78296783.73,77288616.13,76749164.76,78639802.76,76443728.81,71643581.3,64461738.94,59982214.01,56799748.03,100066763.1,157434298.6,151836443,144227121,116508243.2,125380908.5,122230903.4,125608726.5,110286042.4,115540094,104196274.7,103420218.6,55927031.58,18960350.92,15686040.08,12511085.17,91668213.03,81722475.13,57568848.63,49380462.29,54386930.31,43999447.54,19547993.42,3255692.59,18293127.44,0
工程物资,1329766.76,0,1329766.76,0,1329766.76,0,0,0,1329766.76,0,1329766.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2862028.28,2881138.28,2941588.28,2954261.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3535298.49,0,0,0,0,0,0,2626796.56,2659530.35,2666971.02,2592350.43,1545525.98,1208420.03,1090145.74,436955,436955,436955,436955,251455,4315909.03,636466.44,323707.3,596806.3,417802.3,581410.26,0,0,0,0,0,0,0
固定资产及清理(合计),508307261.3,519185241.7,533858490,530091847.6,527960676.2,518563821.6,531102571.1,534883543.3,516900411.8,519684042.4,521918609.8,430065342,420223055.1,419691100.7,416846064.1,0,429912803.8,0,435803422.7,0,446564465.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产净额,508307261.3,0,533858490,0,527960676.2,0,531102571.1,0,516900411.8,0,521918609.8,430065342,415921286.7,415680760.8,416846064.1,423495577.7,429912803.8,435443140.6,435803422.7,440868164.1,446564465.3,453956930.8,459780566.3,467216639.1,474982238.9,482699075.8,490191902.1,494348443.3,502088208.2,510756825.9,518349545.4,590266967.2,598700001.4,508615875.7,516104947.4,155646506.5,158884741.2,153592133.8,145908231.5,152488678.6,150293334.1,158771556.2,162007327.4,165247223,185763550.6,186812971,185287909.6,148755872.6,157776298,148675084.8,145712121.8,159067981.4,161989912.3,160329785.1,162624623.6,175961783.9,178308945.4,149426015.5,164351542.3,172188700.8,175658423.7,179685480.9,183550846.7,195005977.7,200134362.3,204732314.2,209283722.8,267361083.3,494768269,512219350.3,522996618.5,619443283.5,626920419.2,642079995.1,657053546.6,496612452.7,503562935.6,513393559.8,421066235.8,396736140.7,406361468.3,412465560,351624446.9,311288723.7,135955154.9,129094375.1,135288149.5,115243691.1,120212099,117139462.4,105809722.7,87235620.39,0
固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,4301768.44,4010339.87,0,0,0,0,0,0,0,0,0,-58147.98,-3823088.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90876476.92,89429847.63,80141890.9,0,0,0,0,0,0,-3000,0,267.3,0,90800,0,0,0,0,0,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
